,text
236,Watch as U.S. Rep. Raja Krishnamoorthi of Schaumburg and his challengers Dr. Inam Hussain of Libertyville and William Olson of Schaumburg answer questions from the Daily Herald Editorial Board. Dr.Inamforcongress Congressman Raja Krishnamoorthi
237,"The garbage-entangled manatee was originally spotted last December, and all attempts to capture it with a net by the Florida Fish and Wildlife Conservation Commission, SeaWorld and the Save the Manatee Club in Volusia County have so far failed."
238,Howie Carr: Charlie Baker leaves taxpayers gassed http://bhne.ws/7sgue7I
239,"The proposed school system budget would create more than 100 new jobs, including 40 new elementary school counselor positions – nearly doubling the existing total."
240,Forecasts indicate the Skagit River will reach flood stage in Concrete at 10 p.m. Saturday and in Mount Vernon at 4 p.m. Sunday.
241,Harwood Union board members voted Jan. 22 not to accept petitions to place two proposals on the town meeting ballot. The petitions seek to amend the agreement that governed the merger of the six Harwood towns into a single school district in 2017. One would require voter approval before closing any school in their town; the other would require similar approval for reconfiguring a school’s grade structure.
242,State Sen. Scott Wiener's SB 50 is no more but legislators are adamant that a major housing production bill will pass this year.
243,Connecticut man ruled dangerous in Easthampton attempted murder case
244,Columnist Bill Newman: Trump lies
245,The first weekend of February is flat-out FABULOUS (with or without any football-adjacent fun) and there's a TON of Things you can Do without spending hardly anything to do it!
246,The victim was taken to a hospital in serious condition.
247,New report names blue economy as major economic opportunity https://bit.ly/31aCkhG
248,"Chabot: Bernie Sanders turns to the Squad for far-left boost, to Trump’s delight http://bhne.ws/sVxX0l6"
249,"Don't miss our livestream at 1 p.m. today of the three Democrats vying for a seat in Congress from the 8th District. U.S. Rep. Raja Krishnamoorthi of Schaumburg and his challengers in the March 17 primary, Dr. Inam Hussain of Libertyville and William Olson of Schaumburg, will field questions from the Daily Herald Editorial Board. Dr.Inamforcongress"
250,Check out our most-recent sports roundup! #ClallamCounty #OlympicPeninsula #sports
251,"The station found 95 drivers on the schools’ lists failed to get a city permit by Nov. 12, three months into the school year and two months after the city’s deadline to get school buses fully inspected."
252,"DEVELOPING: Officials shot at an SUV that breached security checkpoints heading toward the main entrance of President Donald Trump’s Mar-a-Lago retreat in Florida, Palm Beach Sheriff’s Office said."
253,"Bonnie Kay Mitchell, 73"
254,"DEVELOPING: Officials shot at an SUV that breached security checkpoints heading toward the main entrance of President Donald Trump’s Mar-a-Lago retreat in Florida, Palm Beach Sheriff’s Office said."
255,JUST IN:
256,"US advises no travel to China, where Coronavirus deaths top 200 http://bhne.ws/8QeGccg"
257,"From bourbon to bubbly to boba tea, this weekend is all about the beverages."
258,Delta and American Airlines suspend flights to China amid coronavirus concerns http://bhne.ws/ObH1QDP
259,BIG vote by the LHSAA Friday: Both proposals aimed at bringing the LHSAA's select/nonselect schools back together were rejected on the final day of the LHSAA's annual convention.
260,"“For the past year, we have raised concerns that the FAA has ignored warnings about the safety of aircraft operations. This report exposed troubling new accounts about how the FAA failed to take action on warnings about the safety of helicopters in Hawaii – warnings that could have saved lives.”"
261,Officials say shots fired at intruder vehicle at Mar-a-Lago http://bhne.ws/p1j4nwN
262,"The school board for the Marysville School District wants equity in its schools. But while that might sound good in theory, the reality for residents is that some of it just doesn’t make sense."
263,Could you see Brady in Tampa Bay? NFL Analyst Peter King could.
264,“It hurts as a father knowing the hole he is not able to fill anymore.”
265,"Police have been trying to find Alexander McGee since Jan. 20, when police said he was the driver in a car that police briefly chased. That car wound up fatally striking a 58-year-old woman on the sidewalk of University Avenue."
266,Come join us in the swingin' '60s when Cedar Point was just a tad different than it is now.
267,Editorial: Legal weed didn’t stop illegal deals http://bhne.ws/8qdlGz6
268,"Ever-changing traffic patterns meant to accommodate an estimated 150,000 out-of-state visitors are likely to vex even the most experienced local drivers."
269,Opinion: Much of the current housing crisis was caused by our federal government and we need federal intervention to solve it. https://sfex.news/37C3pwB?utm_campaign=meetedgar&utm_medium=social&utm_source=meetedgar.com
270,"""We Bare Bears"" fans at Sketchfest were treated to an exclusive preview from the upcoming movie. https://sfwk.ly/30OWhdz?utm_campaign=meetedgar&utm_medium=social&utm_source=meetedgar.com"
271,The bank ended its donations to the Florida Tax Credit Scholarship Program after a news report revealed about 14 percent of the private schools in the program have explicitly anti-LGBTQ policies.
272,It's a preliminary win for voting-rights advocates who argue the state is breaking the law by not permitting online registration.
273,Surprised? Oregon ranks 23rd in the country for broadband connectivity
274,"'Tis the season to get short, as Enzian Theater screens the Academy Award nominees for film shorts in all categories."
275,"U.S. land managers say they will release by mid-March a priority list of federal lands that need but don’t have public access. U.S. Bureau of Land Management officials said they want people to nominate lands where the public could legally hunt, fish or pursue other recreational purposes, except the lands have limited or no access."
276,"The people who tell us whether it’s likely to rain tomorrow rely on satellites 22,000 miles above the Earth and on balloons that aren’t so different from what you might use to decorate a toddler’s birthday party."
277,"A stellar coffee spot needs more than a good, hot cuppa. Here's our favorite places to recaffeinate in Dallas."
278,"Most of the out-of-towners who were eyeing North Texas houses hailed from Los Angeles, Houston and Austin."
279,The former national teacher of the year and a Congressional candidate both say a recent trip to a detention center in Tacoma has steeled their resolve to advocate change in the country’s treatment of immigrants.
280,The meeting is expected to turn contentious—the two sides don't have a history of agreeing on much—and the public has been invited to attend.
281,"Terri Lynn's Soul Food Express offers a massive, carb-filled breakfast buffet on the first Saturday of every month. (Checks calendar... TOMORROW?!?! Yes!)"
282,"Elaine Brown, who took part in a monthslong armed standoff at her Plainfield home to protest a tax evasion conviction, can be released after serving over 12 years in prison, a federal judge ruled Friday."
283,"Forgotten any bank accounts, lately?"
284,Live music is the theme in this weekend's list of best things to do in Monterey County—plus a Super Bowl party.
285,Rico Jones will Dazzle Denver tomorrow night 🎷
286,Few details are known about the patient at Parkland Memorial Hospital.
287,Traumatic brain injuries cannot be dismissed as mere “headaches” — the word used by President Donald Trump as he said the injuries suffered by the troops in Iraq were not necessarily serious.
288,Did you miss out on Hamilton's initial run at the Straz Center? Good news: It's coming back. Get the dates and deets on how to get tickets:
289,"""I knew darn well inside that we had no chance to win that football game."" ⚜ Morten Andersen tells stories like no one else. His memories of September 2006 are a must-read for Saints fans. 🔽"
290,Need to find something great to do this weekend? We've got you covered!
291,The CDC has yet to announce when coronavirus screenings will start at Logan Airport -- and it's concerning to some passengers http://bhne.ws/puyZvm7
292,Aaliyah Dubois of Milton Middle School-VT is one of this week's Students Stepping Up.
293,"With the latest purchase, it’s clear that Google is eyeing several distinct job hubs in San Jose that together could result in tens of thousands of jobs."
294,Columnist Chelsea Kline: It’s in our blood to look out for one another
295,Hilltown Voices: New wheels for Goshen fire chief
296,Amherst intersection sees two crashes Thursday night
297,Hernando commissioners hope new managers finally bring success to two of the county's most iconic historic locations.
298,A racist former Sandpoint resident who targeted the Sandpoint Reader and the Sandpoint mayor with a stream of harassment may be fined nearly $13 million by the FCC for spoofing a series of robocalls. More morning headlines here. Happy Friday.
299,"Dorf Haus Supper Club has a Monday night smörgåsbord, Bierock hosts an extra special Grateful Dead night, and the culinary history enthusiasts learn about Menominee sustainable agriculture at Goodman Community Center, this week in events where Casey Jones better watch his speed."
300,"It was the first time officials had found a gun at the checkpoint this year, following 14 such occurrences each of the past two years."
301,Flyjack celebrates its new release with a Houston show.
302,"Mayor Kirk Caldwell says the city is “not yet confident” the first 11-mile segment of the Honolulu rail line will open at the end of this year, and told the Honolulu Authority for Rapid Transportation that it should stop promising the public that rail will open even earlier."
303,"OUTDOORS: Blackmouth chinook #fishing opens Saturday in Marine Area 9 (Admiralty Inlet), allowing anglers fishing near Port Townsend the opportunity to retain one hatchery clipped king a minimum of 22 inches in length. #JeffersonCounty #ClallamCounty #outdoors"
304,Get your taste buds ready! This week's Gazedibles is just in time for Potato Lover's Month.
305,"PETA Founder Ingrid Newkirk's new book explores research into animal intelligence, feelings, and communication. Her book tour stops at Changing Hands Bookstore in Tempe on Monday, February 3."
306,"The reviews are in for the #Snowdown2020 Follies, and, well ... ""making eye contact with some of these folks may prove difficult for a while."""
307,"Located in the same building as the original, the new location will allow Brennan's to double the square footage on its ground floor."
308,"You know the story of She Loves Me: two people who hate each other in real life are unwittingly in love with each other in a different realm. It's based on the same 1937 play, Parfumerie, that Nora Ephron's You've Got Mail was based on."
309,"Teen struck, killed by Commuter Rail train in Concord http://bhne.ws/DBTOMFL"
310,Lots of news from Christ Anglican Church in Warrenton.
311,The monkeys were originally part of a failed tourist attraction called Colonel Tooey's Jungle Cruise in the 1930s.
312,"Prep Roundup: The Burlington-Edison High School boys' basketball team remained unbeaten in the Northwest Conference on Thursday night, beating Anacortes. skagit.ws/37MWdxE"
313,One iconic film. Two legendary directors. Six days worth of interviews. And everything you ever wanted to know about the great mind behind The Exorcist.
314,"A vote on witnesses, expected today, could lead to an abrupt end and assured acquittal in only the third presidential impeachment trial in American history."
315,"Sing it with our GOP: Party before Country, Trump above All. ALSO: Brexit is today (!), Rand Paul is a DICK, and Stacey Abrams has some hope for you if you need some. GOOD MORNING, NEWS!"
316,Herald editorial cartoonist Gary Markstein opines on Senator Cory Gardner's expected vote against calling witnesses in Trump's impeachment trial. What do you think about Gardner's position?
317,"BARTENDER Q&A: Macara “Mac” Hinds got into bartending to help pay for school, but the job didn’t just keep her out of debt. It took her around the world — to no fewer than 42 countries."
318,Annie Louise Hobgood Rowland obituary
319,"As we argued in a recent feature, council's problems wouldn't be solved by whacking it from 17 members to 9, a scenario that we argued would make it easier for influential donors and power brokers to get councilmembers in their pocket."
320,"Police said they didn't believe the attacker and victim knew each other prior to the attack, which left a man with cuts to his neck and shoulder."
321,Safe Space Winter Shelter is in dire need of a facility or two to round out its seasonal operation keeping homeless folks out the elements. Our hope is that local churches or other organizations will answer the nonprofit’s urgent calls for help.
322,"The population of rhesus macaques has expanded considerably over the years, and the monkeys are now being spotted in northeast cities like St. Johns, St. Augustine, Palatka, Welaka and Elkton, and as far south Apopka and Tampa."
323,Cheeseburger Baby is one of about 35 local Miami businesses that were chosen to serve Super Bowl VIPs.
324,The Queen City knows how to make a damn pizza.
325,Jeff Danziger's take ...
326,A hazardous waste processing plant with a history of serious violations on Detroit's east side has received state approval to drastically expand its toxic waste storage facilities.
327,"Fallen Honolulu police officer Tiffany-­Victoria B. Enriquez, Hawaii’s first female police officer to be killed in the line of duty, was remembered Thursday as a warm person with an infectious smile that brought people together."
328,Looking for the best brewery in Houston?
329,Buck and Aikman back in the saddle for Super Bowl LIV http://bhne.ws/VDxd0Kt
330,Recent changes in laws regarding tobacco and vaping products — and how that applies to school-aged children — could spark modifications to the Sequim School District’s related policies and procedures in the district. #ClallamCounty #Sequim #SequimWA
331,The announcement came after Secretary of State Mike Pompeo tweeted Thursday night that the State Department was increasing the travel advisory for China to “Level 4 - Do Not Travel.”
332,"When the Spokane Shock return to the Spokane Arena in March, the Indoor Football League team will have a new title sponsor and a different field color."
333,Hardcore drummer-turned-designer Yun Kim used his home to create a studio that reflects his artistic flair.
334,Think about THIS: The Saints do not have a single quarterback under contract for the 2020 season.
335,"We are seeking a Maintenance Technician to join us in our Tarentum, PA office location! Duties include repair of printing presses, inserting machines, and related production equipment; including building and facility services. Applicant must have a strong mechanical aptitude and the ability to troubleshoot and repair high speed electro-mechanical equipment in a fast paced environment under tight deadlines. Previous experience in the printing industry a plus. See more details and apply today! ➤ https://trib.me/2Oh5TJ2"
336,"Bumble, Grindr, The Meet Group and the Match Group, which owns such popular services as Tinder, Match.com and OkCupid, are the current targets of the investigation by the U.S. House Oversight and Reform subcommittee on economic and consumer policy."
337,"Watch the Daily Herald Editorial Board joint interview with State's Attorney Kim Foxx and challengers Bill Conway, Bob Fioretti and Donna More."
338,Restaurant Week hosts tasty deals at hundreds of local eateries.
339,"Soccer dad, Little League coach and the public face of pushing Penny for Pasco."
340,"The convicted co-founder of Project Vetcare is invoking the right against self-incrimination to avoid testifying in the trial of her son and daughter-in-law, who are also accused of taking money from the defunct nonprofit that served veterans in the Hanover area, according to court motions."
341,"Zora! Fest brings cultural panels, outdoor concerts and lots of food to Central Florida for its 31st year."
342,"Naperville, Illinois peeps -- are you ready for another Costco? 🛒🛒🛒 @What's Happening in Naperville, IL"
343,"While many familiar faces expanded with new locations in January, other beloved spots closed for good."
344,COMMENTARY: Why rural communities are key.
345,Macho arguments about taste abound in Yasmina Reza's dramatic comedy at The City Theatre Company
346,22 more State Police members face termination in overtime abuse scandal http://bhne.ws/riq9qt0
347,The Jamestown S’Klallam Tribe plans to connect its major facilities in Blyn to Sequim’s sewer system in February. #ClallamCounty #Sequim #Blyn
348,The Best Category We Forgot in this year's Best Of Houston® 2020.
349,"“I’m still going to be rocking. I’m not going to stop. This cancer is not going to take me down, especially with all the blessings from each and every one of you. Praise God.”"
350,Get Isthmus Word of Mouth and On Tap delivered to your inbox. Sign up for our weekly newsletters here: isthmus.com/newsletters
351,"The climate crisis is so dire — and Vermont has made so little progress toward its carbon-reduction goals — that more sweeping action is urgently needed, critics say."
352,He has a history of indecent exposure.
353,"Says columnist Stephanie Grace: 🔵 News that LaToya Cantrell and her husband have years of liens on their home, reflecting unpaid federal taxes totaling more than $95,000, is more than ironic. It’s kind of offensive."
354,Frank Wayne Oliver Sr. obituary
355,"Most movie fans are well aware of the Oscar nominations heavy hitters like Joker and 1917 received, but short films deserve love too."
356,"This isn’t the first time Cypress Point Beach, which is just north of the Howard Franklin Bridge, has tested for high levels of enterococci. The same beach had a similar advisory issued just a month ago on Dec. 30, and again on Dec. 23."
357,"After the Florida Supreme Court ruled that a unanimous jury is not required to impose the death penalty, what happens next? It's complicated."
358,"Anne Cox Chambers has died at age 100. In 2011, we got the rare opportunity to interview the famously reclusive media heir and philanthropist:"
359,Check out our weekly round-up of personal achievements.
360,"Is CBD a wellness trend, or is it here to stay?"
361,"""If you weren't paying close attention, you might be inclined to think that banjo player Dave Carroll's fingers sparked into flames as he was pickin' through the night."""
362,"Prepare for major flooding and possible landslides throughout the county this weekend, as heavy rain was forecast to swell three major rivers in Snohomish County."
363,"Last night, the EA Sports Bowl brought some of the most exciting acts in hip-hop to downtown Miami."
364,"For a few hours Friday morning, a massive statewide crime spree a la The Purge was theoretically possible as Michigan's 911 emergency system crashed."
365,"A detective’s arrest warrant affidavit, obtained by The Dallas Morning News on Thursday, sets out the allegations against Richard Thomas Brown, who worked as a priest for the Dallas Catholic Diocese from 1980 to 1994 and admitted as far back as the early 1990s that he had abused children."
366,"A mayoral spokesperson suggested Haney’s proposal would be redundant, because the mayor has already asked the City Attorney's Office and Controller's Office to investigate https://sfex.news/2u3EEuI?utm_campaign=meetedgar&utm_medium=social&utm_source=meetedgar.com"
367,"Music News: The Flaming Lips, My Chemical Romance and Roger Waters Highlight This Week’s Concert Announcements."
368,Local sports (and much more online) ...
369,"His defense attorney, Henry Ting, told jurors that the description of witnesses failed to match 30-year-old Hubbard, who had white hair at the time and was carrying a wand. Witnesses said the suspect had brown hair and was wearing a hat."
370,"Virginia General Assembly House Bill 475, would expand the capabilities and training of sexual assault nurse examiners. It moved out of subcommittee Wednesday."
371,"The Wuhan strain of the coronavirus may not ever spread to Umatilla County, but health officials are prepared for it anyway."
372,"Someday, maybe this summer, the first one will arrive at their destination 4,800 miles across the Pacific Ocean."
373,Urban Artifact says a limited number of tickets will be available at the door for Saturday's Too Many Zooz concert
374,"Quilcene Fire Rescue Chief Frank Montone has resigned, six months after he was hired, and Deputy Chief Don Svetich is serving as interim chief until a full-time fire chief joins the department. Fire district commissioners discussed long-term planning and the process for hiring a new chief during a Thursday evening meeting. #JeffersonCounty #JeffCoNews #Quilcene #QuilceneWA"
375,Our pick for Best Chef in Houston.
376,"The number of fatal drug overdoses declined for the first time in 28 years, and U.S. life expectancy at birth ticked upward for the first time since 2014, according to long-awaited numbers for 2018 published Thursday by the U.S. Centers for Disease Control and Prevention."
377,"The announcement, made this morning, further winnowed down a primary field that had once stood at more than two dozen."
378,"Why did African Americans shop at stores rather than boycott, knowing they had been built on top of Zion Cemetery?"
379,"""What is surprising is the size of those gaps, like the fact that some racial groups in the state experience premature death twice as much as whites."""
380,"‪The Arizona State Land Department this month sold 16,810 acres of desert land to Freeport-McMoRan, a Phoenix-based international mining company, which plans to use the property to store waste from its Bagdad copper mine.‬"
381,"The Seattle Opera will celebrate Black History Month with the Seattle premiere of Charlie Parker's 'Yardbird', which celebrates the titular alto-saxophonist's contributions to jazz during the year that would have marked his 100th birthday."
382,"January is almost over. (Finally!) Time to check out some plays, some motorcycles, and a bit of roller derby and wrestling."
383,What's to become of Colorado's death penalty and the people on death row?
384,‘Gretel & Hansel’s non-excellent adventure http://bhne.ws/6TNNmfU
385,"Windy City Bulls raises money for brush fires, deaf awareness. Don't miss the next community game on Feb. 8: Community Heroes Night with ’88 Throwback Youth Jersey Giveaway!"
386,"""Be very careful if the well being of your family is of importance,"" read the note."
387,The best brunch in Houston.
388,"Heavy precipitation in January has bolstered a once-diminutive Olympic Mountain snowpack. Snowpack was 120 percent of normal in the Olympics as of Thursday, up from 48 percent on New Year’s Day, according to the U.S. Department of Agriculture. #NorthOlympicPeninsula #OlympicPeninsula #snowpack"
389,"The block party, aimed at raising awareness around bike and pedestrian safety, will be on Saturday where the tragic crash killed Sharee Walls and David Hynes and injured several others following last year's Endymion parade."
390,"The adventurous Jazz-meets-EDM (minus the ""E"") threesome played Covington's Madison Live on Thursday, Jan. 30, with special guests SolEcho."
391,"Jayne Singleton, executive director of the Spokane Valley Heritage Museum, first encountered the structure when she was photographing old stone structures in Otis Orchards. She nicknamed the tower “The Sentinel” and considered it one of the few constants in the Valley. It was ""in a sense a witness to all the change that’s happened,” she said."
392,Three consecutive sold-out shows tacked on another date and catapulted an already unprecedented local success story into another realm altogether.
393,"Pier 106 Seafood Tavern (106 W. Wells St.), a shove off spot for many Edelweiss Cruises, has announced they are permanently closed due water damage from the extensive flooding of the Milwaukee River."
394,"Waste not, want not"
395,Water Utility spokesperson Amy Barrilleaux took a page from President Trump’s playbook in responding to an Isthmus cover story on PFAS contamination.
396,"Having fun isn't hard, when you've got a library card."
397,Homeless families won’t find refuge in new large developments within single-family neighborhoods anytime soon. The Everett City Council voted 4-1 Wednesday to remove supportive housing as a use in those areas.
398,"Have you heard about Painted Prairie, Denver’s newest neo-traditional community? Painted Prairie features the unexpected mix of a fresh, urban vibe, wide-open outdoor spaces, and all sorts of local-to-global tastes, sips, activities and escapes. #liveunexpected #paintedprairie #community #newhomes Learn more at lifeatpaintedprairie.com. #ad #sponsored by Painted Prairie"
399,"Even though Nouman Raja is a convicted killer, the national Fraternal Order of Police this week released its own statement bellyaching about the Players Coalition ad."
400,The Voter Participation Center and Wisconsin Voices are finding ways to make registering easier for the Rising American Electorate.
401,"In a case that has drawn national attention, a federal appeals court Thursday rejected arguments that a Death Row inmate should be given another chance to show he is innocent in the 1985 murder of a 14-year-old girl in Pinellas County."
402,Today is your last chance to enjoy a bowl of pho from Cilantro before it closes.
403,A light-hearted Fantasticks opens the new Gordy in style.
404,"“We, the Voyagers,” a new, two-part documentary film chronicling the navigation style of the Taumako islanders, screens 5:30-8:30 p.m. today at Bishop Museum."
405,"They don't call him Mr. Mardi Gras for nothing. No single person alive today has played a more key role in the modern-day appearance of the Mardi Gras float than Blain Kern has, thanks to his 50-plus years in the float-building business."
406,SCIENCE FRIDAY: Ghost lakes in Vermont.
407,The state estimates the odds at 1 in 5 that some of the money is yours.
408,"Here's your Appeal-Democrat for Friday, January 31, 2020. For more coverage of the Mid-Valley visit https://www.appeal-democrat.com."
409,"See you there? The first event, in partnership with neighborhood coalition Southeast Uplift, is set for 9 a.m. to noon, Saturday, Feb. 1"
410,"To help more students graduate, the Dallas County Community College District wants to merge campuses and degree programs."
411,"In a class-action lawsuit against SiriusXM, the satellite radio business must stop making calls that violate Do Not Call registries."
412,Lush Cosmetics is bringing its brand of handmade cosmetics and body-care products to River Park Square next week.
413,"Of course, the mainstream media handled this revelation in the most confusing way possible."
414,"From the Moffat Tunnel to the plains, these historic sites tell the tales of Colorado's past."
415,"Officials Thursday continued investigating the origin of bones found on a Waterfront Trail beach while repairs began on unstable embankments that recently yielded the ancient remains. A complete human skull, including the mandible and a possible scapula, were found Jan. 14 by a man and his son on the Port Angeles Harbor waterfront abutting the trail, which is part of Olympic Discovery Trail. #ClallamCounty #PortAngeles #ODT"
416,"Sage has been a teacher’s pet. These days, though, the golden retriever has been absent from Snohomish High School. The school district has decided Sage is no longer allowed in Spanish teacher Jennifer Buckley’s classroom on Fridays."
417,"New Yorker cartoonist Roz Chast will be in Portland as part of the Voices Lecture Series at 7 p.m. Wednesday, Feb. 5"
418,Golden State will have a total of zero representatives at the game.
419,Golden State will have a total of zero representatives at the game.
420,A ‘musical ministry’: Church organist talks about how music can transform a sermon
421,Hampshire Life Editor’s Note: Organist Elise Feingold Jackendoff
422,"Ken Maiuri’s Tuned In: Legos in love, dirty snow are topics of Bamboo Steamers latest release"
423,Sign-holding stalwarts: A talk with some regulars at Northampton’s weekly anti-war protest
424,"Hampshire Life Spotlight: Art by migrant teens in detention, gathering for Western Mass Food Bank"
425,Hampshire Life Photo Gallery: Shades of gray
426,"Art Maker: Alice Thomas, poet, painter and publisher"
427,Book Bag: ‘Full Dissidence: Notes From an Uneven Playing Field’ by Howard Bryant
428,"Teen struck, killed by Commuter Rail train in Concord http://bhne.ws/xxMzcWC"
429,Voters will consider a $45.6 million budget and a $20.4 million plan to renovate city schools during the Lebanon School District’s deliberative session on Saturday.
430,"Thanks, we hate it."
431,Day 2: Testimony continues in Portland light rail attack case
432,"Hot wings, cold ice cream and other best food bets this weekend in Houston."
433,"""It’s not just Kamara. It’s Ramczyk and Lattimore."""
434,"With a recent Grammy to add to her Tony awards, Anais Mitchell could one day join a prestigious club. Plus, critic Jordan Adams wonders if the abundance of places to see live, local music in Vermont is too much of a good thing."
435,"Two health care workers charged in the deaths at a stifling hot nursing home are asking a judge to dismiss their cases, saying former Gov. Rick Scott destroyed needed evidence."
436,"Elizabeth Warren weighs in on the Travis County D.A. race. That, and more local election news."
437,"At the start of the 20th century, as more women joined the workforce, female medications were introduced promising stamina and strength for those laboring all the livelong day."
438,"Residents argue the hotel would create a dominating visual presence on the horizon, and possibly invade the privacy of residents living nearby."
439,"The previous accidents occurred in 1985, 1999 and 2008."
440,"Guns N' Roses, Tripping Animals Brewing Co., The Last Bite: A South Florida Food Feast, and more can't-miss events in Miami this weekend."
441,"After reading this, you'll watch the Super Bowl very differently."
442,A week ago thieves broke into 35 vehicles overnight in the Uptown and Irish Channel neighborhoods.
443,SFPD’s policy for off-duty police shootings that occur outside of San Francisco requires officers to “remain at the scene of the discharge and notify the law enforcement agency.” http://sfex.news/2RJOECc?utm_campaign=meetedgar&utm_medium=social&utm_source=meetedgar.com
444,Complicated logistics are part of a daily flow of food and other goods authorities say is sustaining Wuhan and surrounding cities.
445,"The Point in Time Count is a requirement of every city that receives federal funding for its homelessness programs, but the methodology can vary from city to city. Although city officials acknowledge the count is a long way from exact, Spokane has buttressed its efforts in recent years to encompass – and count – as many homeless individuals as possible."
446,Sean Pendergast's predictions about Super Bowl LIV.
447,"Tonight, Rhinegeist is donating a portion of its proceeds from taproom sales to its event partner Mission2Move."
448,How would you vote?
449,"DeSoto ethics policies prohibit officials from accepting gifts worth more than $50. Two weeks after officials Candice and Jeremiah Quarles took a vacation funded largely by taxpayers, AT&T gave them free tickets to Cotton Bowl dinners."
450,"Over the next few months, county officials have set an ambitious schedule filled with public engagement meetings, open houses, joint sessions between boards and the actual writing of the new code."
451,A big ballot for Barre.
452,"It isn't statewide yet, but plaintiffs in a court case take crucial steps towards making motor voter laws in Texas a reality."
453,"Florida has more than $2 billion in unclaimed property, about $410 million in the greater Tampa Bay area, the state reported last year."
454,In today's Henrico News Minute: • Henrico County Public Schools officials unveil their budget proposal; • a car crash in Eastern Henrico claims two lives; • a Hampton Roads seafood restaurant plans a Henrico expansion; • Henrico County Government adds a new deputy county manager; • and Richmond Montessori School students raise money to help Australia’s most helpless fire victims. Got 6 minutes? Listen here: https://www.buzzsprout.com/748349/2625091-henrico-news-minute-jan-31-2020
455,The plaintiffs allege they were injured by police during a contentious school board meeting.
456,Are recycling companies paying thieves for these sawed-off parts?
457,Wanted by the FBI: Chinese national accused of doing research at Boston University under Chinese army orders http://bhne.ws/eCDjZXj
458,This grieving mom of a son killed by police is now a wanted woman. Here's why.
459,Charette estimates there are 20 to 30 teams in the middle school division from across the state. For the Winman Middle School team to be one of eight teams to reach the semi-finals has Charette grinning with pride.
460,The debut of Adair Downtown and other comings and goings in the Houston restaurant biz.
461,How the Patriots pushed the Chiefs to Super Bowl LIV http://bhne.ws/xjVZKwA
462,"Students in Fauquier County Public Schools auto repair classes have two more vehicles to work on, thanks to Carmen Rivera of State Farm Insurance."
463,"UPDATE: Deputies say they have arrested a woman who hit a child, briefly got out to check around her SUV, then left the scene."
464,From Rolling Meadows High School to the San Francisco 49ers ... what made Jimmy Garoppolo tick.
465,Miami shouldn't have to wait another ten years for its next Super Bowl.
466,The 1975 are coming to Phoenix at Gila River Arena on May 5. Get your tickets now! https://www1.ticketmaster.com/the-1975/event/1900582AEFE44F91?utm_source=new_times&utm_medium=facebook&utm_campaign=The1975_January_2020
467,Police say the suspect also shot himself that night.
468,"The previous accidents occurred in 1985, 1999 and 2008."
469,"The anti-choice ""sanctuary cities for the unborn"" movement finds a foothold in North Texas thanks to a resolution in Ellis County."
470,Town denies access to records on cruiser crash.
471,"Ah, going to the Galleria on the weekend? With road shutdowns might want to rethink that plan."
472,"This week's Teacher Feature is UMS first grade teacher Heidi Kelly! She read aloud to her class during their chicken life cycle unit, while wearing an interesting hat..."
473,"Gov. John Bel Edwards’ administration is pushing back against certain local rules for the state’s largest tax incentive program, in an effort to make it easier for companies to win tax breaks for work that has already started or been completed."
474,"Along with grief and shock, Brad Hulett and his family are grappling with anger and frustration as the investigation continues into his son’s December death. Bradley Hulett Jr. was shot to death while playing video games with his friends at a Tampa officer's home. But how and why? The Huletts don’t think it was intentional, but they refuse to call it an accident. They want charges filed if a crime occurred. “I feel like we can’t get any closure, and I can’t begin the healing process or learn how to live with this new normal without closure,” said Meagan Hulett, Bradley’s mother. “I just want to put Bradley to rest without any of this, and I don’t think it’s fair we don’t get to do that."" Read the full story: https://trib.al/ys7JlmM"
475,"How did Austin's pot decriminalization efforts shake out? Well, they're still shaking."
476,"“It’s always a good thing to win, but it’s also a good thing to learn how to lose, and I think we’re just going to bounce back. We’re going to be stronger than we were before.”"
477,Our review of The Rhythm Section.
478,Charlie Weis won’t be surprised if Bill Belichick has big trade up his sleeve for draft day http://bhne.ws/CKNMi8B
479,"... and we made it to Friday. There is plenty going on to let you know about. Pick up a copy of The Times Argus today, or call us to subscribe at 479-4040. Don't miss the news that matters to you."
480,"After years of stalled negotiations, Jack Kerouac’s estate will sell the On The Road author’s St. Petersburg home to a nonprofit."
481,"The state’s third-largest bank, a subsidiary of Hawaiian Electric Industries Inc., reported today that its net income increased to $28.2 million from $21.8 million in the year-earlier quarter."
482,"“Fire me in four years if we don’t make any progress,” Dr. Philip Huang said in front of a crowd of about 300 health care workers, policy makers and activists."
483,Tom Brady’s future a hot topic at Super Bowl LIV http://bhne.ws/FoMhN17
484,"Katie Rennie, owner of 25 Central: The ‘professional shopper’ with a background in public health"
485,Video interviews of Democratic primary candidates for Cook County state's attorney will be livestreamed today on dailyherald.com and on the Daily Herald's Facebook page.
486,"Rob Conboy is working on a St. Albans plant that he hopes could convert 9,000 tons of discarded glass each year — roughly the amount Chittenden County currently generates — into an ultralight fill that he has been selling for use under building foundations."
487,"Cutest Couple Contest: Submit your photos for a chance to win big prizes -- including a night at the Boston Harbor Hotel, $300 gift card to Legal Sea Foods http://bhne.ws/K7T1QnG"
